RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
20493654463;0181;DILIGENCIAMIENTO DE CARTA NOTARIAL DIRIGIDA A: KAREN DAYANA ESCOBEDO GARCIA, TRUJILLO Nº 584- IQUITOS.;UNIDAD;40.0;39172;ENSALADA DE FRUTAS UND.;;FRUTAS;UNIDAD;1.0;ALTERNATIVA;0.16317818911204776;2
20451319800;0181;DILIGENCIAMIENTO DE CARTA NOTARIAL DIRIGIDA A: KAREN DAYANA ESCOBEDO GARCIA, TRUJILLO Nº 584- IQUITOS.;UNIDAD;40.0;3434;MAQUINA DE AFEITAR GILLETTE PRESTOBARBA PIEL SENSIBLE UND;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.1597175229313841;3
20128915711;0183;LEGALIZACION DE FOTOCOPIAS.;UNIDAD;3.0;39138;CERVEZA GOLDEN 473 LATA;GOLDEN;LICORES;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.2364264230418767;1
20493627903;0183;LEGALIZACION DE FOTOCOPIAS.;UNIDAD;3.0;50809;TAMPON ARTESCO NEGRO.;_;LIBRERIA;UNIDAD;1.0;ALTERNATIVA;0.22918773637849785;2
20493654463;0183;LEGALIZACION DE FOTOCOPIAS.;UNIDAD;3.0;46862;GERMINADO DE CULANTRO UND.;_;VERDURAS;UNIDAD;1.0;ALTERNATIVA;0.18543279462244724;3
10072351547;034;QUESO PARMESANO LAIVE RALLADO 50X35 GRS;CAJA;199.007;3078;QUESO LAIVE PARMESANO RALLADO 35 GR;LAIVE;LACTEOS;UNIDAD;1.0;TENTATIVO;0.6622872492724448;1
10072351547;034;QUESO PARMESANO LAIVE RALLADO 50X35 GRS;CAJA;199.007;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.5898872018092379;2
10072351547;034;QUESO PARMESANO LAIVE RALLADO 50X35 GRS;CAJA;199.007;12289;QUESO LAIVE PARMESANO PORCION KG;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.5651937959163283;3
10072351547;035;CREMA DE QUESO LAIVE NATURAL 25X80 GRS;BOLSA;57.0058;25050;QUESO LAIVE ANDINO SANDWICH KG.;LAIVE;LACTEOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.2631420954779995;1
10072351547;035;CREMA DE QUESO LAIVE NATURAL 25X80 GRS;BOLSA;57.0058;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.23625953594373078;2
10072351547;035;CREMA DE QUESO LAIVE NATURAL 25X80 GRS;BOLSA;57.0058;1681;QUESO LAIVE PARA UNTAR NATURAL 80 GR.;LAIVE;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.21220475645322734;3
10072351547;028;QUESO CREMA LAIVE BARRA X 36;CAJA;312.0038;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.3295303693017867;1
10072351547;028;QUESO CREMA LAIVE BARRA X 36;CAJA;312.0038;1675;QUESO LAIVE FRESCO;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.2624704326222868;2
10072351547;028;QUESO CREMA LAIVE BARRA X 36;CAJA;312.0038;1674;QUESO LAIVE EDAM;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.25745289738241306;3
10072351547;021;QUESO MOZZARELLA LAIVE (2 MOLDES);KILOS;35.5652;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;TENTATIVO;0.6168791127168346;1
10072351547;021;QUESO MOZZARELLA LAIVE (2 MOLDES);KILOS;35.5652;3082;QUESO LAIVE MOZZARELLA BOLA 250 GR;LAIVE;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.5650474709198137;2
10072351547;021;QUESO MOZZARELLA LAIVE (2 MOLDES);KILOS;35.5652;27876;QUESO LAIVE MOZZARELLA SBELT 250 GR;LAIVE;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.5642202180789253;3
10072351547;024;QUESO ANDINO LAIVE MOLDE (1 MOLDE);KILOS;49.9022;25050;QUESO LAIVE ANDINO SANDWICH KG.;LAIVE;LACTEOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.3347997841816532;1
10072351547;024;QUESO ANDINO LAIVE MOLDE (1 MOLDE);KILOS;49.9022;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.265121689573848;2
10072351547;024;QUESO ANDINO LAIVE MOLDE (1 MOLDE);KILOS;49.9022;11292;QUESO LAIVE FUNDIDO MOLDE GRANDE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.24800846876179636;3
10072351547;027;QUESO PARMESANO LAIVE PORCION (50 UNIDADES);KILOS;100.8428;12289;QUESO LAIVE PARMESANO PORCION KG;LAIVE;LACTEOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.3902713136233818;1
10072351547;027;QUESO PARMESANO LAIVE PORCION (50 UNIDADES);KILOS;100.8428;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.2684438500889674;2
10072351547;027;QUESO PARMESANO LAIVE PORCION (50 UNIDADES);KILOS;100.8428;28518;QUESO LAIVE CHEF;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.227258366670161;3
10072351547;022;QUESO MOZZARELLA LAIVE PORCION 10X250 GRS;BOLSA;105.964;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;TENTATIVO;0.5887708573783983;1
